TIME,CHAN1
0.000176290,5.40e+00
0.000176295,5.40e+00
0.000176300,5.40e+00
0.000176305,5.40e+00
0.000176310,5.40e+00
0.000176315,5.40e+00
0.000176320,5.40e+00
0.000176325,5.40e+00
0.000176330,5.40e+00
0.000176335,5.40e+00
0.000176340,5.40e+00
0.000176345,5.60e+00
0.000176350,5.40e+00
0.000176355,5.40e+00
0.000176360,5.40e+00
0.000176365,5.40e+00
0.000176370,5.40e+00
0.000176375,3.40e+00
0.000176380,2.40e+00
0.000176385,1.00e+00
0.000176390,1.40e+00
0.000176395,2.20e+00
0.000176400,2.20e+00
0.000176405,2.60e+00
0.000176410,2.80e+00
0.000176415,3.00e+00
0.000176420,3.20e+00
0.000176425,3.60e+00
0.000176430,3.60e+00
0.000176435,3.60e+00
0.000176440,3.60e+00
0.000176445,3.60e+00
0.000176450,3.60e+00
0.000176455,4.00e+00
0.000176460,4.00e+00
0.000176465,4.20e+00
0.000176470,4.00e+00
0.000176475,4.00e+00
0.000176480,4.00e+00
0.000176485,4.00e+00
0.000176490,4.00e+00
0.000176495,4.20e+00
0.000176500,4.20e+00
0.000176505,4.00e+00
0.000176510,4.20e+00
0.000176515,4.00e+00
0.000176520,4.00e+00
0.000176525,4.20e+00
0.000176530,4.20e+00
0.000176535,4.40e+00
0.000176540,4.40e+00
0.000176545,4.40e+00
0.000176550,4.40e+00
0.000176555,4.20e+00
0.000176560,4.40e+00
0.000176565,4.40e+00
0.000176570,4.40e+00
0.000176575,4.60e+00
0.000176580,4.40e+00
0.000176585,4.40e+00
0.000176590,4.40e+00
0.000176595,4.40e+00
0.000176600,4.40e+00
0.000176605,4.40e+00
0.000176610,4.40e+00
0.000176615,4.60e+00
0.000176620,4.60e+00
0.000176625,4.40e+00
0.000176630,4.60e+00
0.000176635,4.40e+00
0.000176640,4.60e+00
0.000176645,4.60e+00
0.000176650,4.60e+00
0.000176655,4.60e+00
0.000176660,4.80e+00
0.000176665,6.80e+00
0.000176670,8.40e+00
0.000176675,1.10e+01
0.000176680,1.10e+01
0.000176685,1.10e+01
0.000176690,1.10e+01
0.000176695,1.10e+01
0.000176700,1.10e+01
0.000176705,1.10e+01
0.000176710,1.10e+01
0.000176715,1.10e+01
0.000176720,1.10e+01
0.000176725,1.10e+01
0.000176730,1.10e+01
0.000176735,1.10e+01
0.000176740,1.10e+01
0.000176745,1.10e+01
0.000176750,1.10e+01
0.000176755,8.40e+00
0.000176760,7.80e+00
0.000176765,6.40e+00
0.000176770,5.60e+00
0.000176775,4.40e+00
0.000176780,4.00e+00
0.000176785,3.00e+00
0.000176790,3.00e+00
0.000176795,2.60e+00
0.000176800,2.80e+00
0.000176805,3.80e+00
0.000176810,4.20e+00
0.000176815,5.60e+00
0.000176820,5.80e+00
0.000176825,6.60e+00
0.000176830,7.00e+00
0.000176835,7.80e+00
0.000176840,8.00e+00
0.000176845,8.60e+00
0.000176850,8.80e+00
0.000176855,9.00e+00
0.000176860,8.80e+00
0.000176865,8.40e+00
0.000176870,8.40e+00
0.000176875,8.20e+00
0.000176880,8.00e+00
0.000176885,7.80e+00
0.000176890,7.60e+00
0.000176895,7.00e+00
0.000176900,6.60e+00
0.000176905,5.80e+00
0.000176910,5.60e+00
0.000176915,5.20e+00
0.000176920,5.20e+00
0.000176925,4.60e+00
0.000176930,4.40e+00
0.000176935,4.00e+00
0.000176940,4.00e+00
0.000176945,4.00e+00
0.000176950,4.20e+00
0.000176955,4.60e+00
0.000176960,4.80e+00
0.000176965,5.60e+00
0.000176970,5.60e+00
0.000176975,6.20e+00
0.000176980,6.40e+00
0.000176985,7.00e+00
0.000176990,7.20e+00
0.000176995,7.60e+00
0.000177000,7.60e+00
0.000177005,7.60e+00
0.000177010,7.60e+00
0.000177015,7.40e+00
0.000177020,7.40e+00
0.000177025,7.20e+00
0.000177030,7.20e+00
0.000177035,6.80e+00
0.000177040,6.60e+00
0.000177045,6.20e+00
0.000177050,6.00e+00
0.000177055,5.60e+00
0.000177060,5.60e+00
0.000177065,5.40e+00
0.000177070,5.40e+00
0.000177075,5.00e+00
0.000177080,5.00e+00
0.000177085,4.80e+00
0.000177090,4.80e+00
0.000177095,4.80e+00
0.000177100,5.00e+00
0.000177105,5.20e+00
0.000177110,5.20e+00
0.000177115,5.60e+00
0.000177120,5.80e+00
0.000177125,6.20e+00
0.000177130,6.40e+00
0.000177135,6.80e+00
0.000177140,7.00e+00
0.000177145,7.20e+00
0.000177150,7.40e+00
0.000177155,7.40e+00
0.000177160,7.40e+00
0.000177165,7.40e+00
0.000177170,7.40e+00
0.000177175,7.00e+00
0.000177180,7.00e+00
0.000177185,6.60e+00
0.000177190,6.60e+00
0.000177195,6.00e+00
0.000177200,6.00e+00
0.000177205,5.60e+00
0.000177210,5.60e+00
0.000177215,5.20e+00
0.000177220,5.20e+00
0.000177225,5.00e+00
0.000177230,5.00e+00
